gene_short_name	logFC	t	P.Value	adj.P.Val	B
Tdrd6	6.5719469891	227.2516414168	0.000000035	0.000000035	6.307772961
Plch1	6.2674667962	213.8291879538	0.000000043	0.000000043	6.2958329121
Slc35f1	5.7928245186	192.3632236512	6.14326834142272E-08	6.14326834142272E-08	6.2714943984
Kirrel3	5.6154277715	184.2007284617	7.11131309256443E-08	7.11131309256443E-08	6.2600270993
Kcng1	5.1889366197	164.2071157213	1.04797069727239E-07	1.04797069727239E-07	6.2247429987
Dok7	4.9997504941	155.2280899023	1.26696743755667E-07	1.26696743755667E-07	6.2045439049
Mpo	4.6657671698	139.2634515823	1.827358112079E-07	1.827358112079E-07	6.1591990782
Slc7a9	4.4777448651	130.2659803173	2.28932293188989E-07	2.28932293188989E-07	6.1265748918
Fam178b	4.4379496734	128.3664654792	2.40566219328382E-07	2.40566219328382E-07	6.1188676891
Cpa1	4.3775870116	125.4801725127	2.59754401234531E-07	2.59754401234531E-07	6.1065366817
Cpvl	4.3509247605	124.2081912181	2.68840440812049E-07	2.68840440812049E-07	6.1008511062
Spo11	4.3156102984	122.5241914114	2.81513885846496E-07	2.81513885846496E-07	6.0930738024
Olah	4.2583092555	119.7995690971	3.03708349406242E-07	3.03708349406242E-07	6.079852897
Adipoq	4.2271536891	118.3186272975	3.1672756634883E-07	3.1672756634883E-07	6.0723165685
Hrh1	4.1986368106	116.9640730636	3.29276017942804E-07	3.29276017942804E-07	6.0651952371
Il20rb	3.741039734	95.6003260911	6.5031126397781E-07	6.5031126397781E-07	5.9152947663
Plac1	3.670908622	92.407736201	7.29275854294877E-07	7.29275854294877E-07	5.8848329222
Cacng4	3.5406345619	86.554137857	9.09453497350945E-07	9.09453497350945E-07	5.8213595459
Tssk4	3.1012697923	84.9675143162	0.000000968	0.000000968	5.8022216631
Capns2	3.4671282548	83.2992893983	0.000001035	0.000001035	5.7811045105
Il12a	3.1609085425	70.197276131	1.84358906766802E-06	1.84358906766802E-06	5.5709829176
C2	5.9942801802	48.1466193875	6.57491321734564E-06	6.57491321734564E-06	4.9058023059
Eif2ak1	0.3224752908	43.4111606187	9.32071504587074E-06	9.32071504587074E-06	4.6700696369
Ssr4	-0.2649936284	-42.0277672234	1.03955797941947E-05	1.03955797941947E-05	4.5915784331
Sik1	-1.5351033404	-41.542904582	1.08101224604281E-05	1.08101224604281E-05	4.5629094234
Gadd45gip1	4.3974822531	41.2646530827	1.10577199014391E-05	1.10577199014391E-05	4.54617434
Lias	0.4547985548	30.0241225793	3.22658645655115E-05	3.22658645655115E-05	3.6497249403
