gene_short_name	logFC	t	P.Value	adj.P.Val	B
Clec4e	2.9017159659	893.1820733639	3.71811454634313E-10	3.71811454634313E-10	9.9731768553
Il12a	3.0763353356	714.579583442	7.87203096328802E-10	7.87203096328802E-10	9.9431775788
Cela3b	3.3157334213	537.0181826622	2.05687901656947E-09	2.05687901656947E-09	9.8803057513
Olr1694	3.3874494416	503.6013705563	2.55282663819603E-09	2.55282663819603E-09	9.8608681216
Serp2	3.4434233046	481.8033436201	0.000000003	0.000000003	9.846068613
Plac1	3.588216575	438.4339815141	4.06787407040761E-09	4.06787407040761E-09	9.8102082837
Il20rb	3.6585582383	422.4734816565	4.60802422517015E-09	4.60802422517015E-09	9.7943401028
ERCC-00098	3.7124624873	412.0147209414	0.000000005	0.000000005	9.7829978842
Vsig2	3.7587418438	404.0116485424	5.35500509711913E-09	5.35500509711913E-09	9.7737611113
Lhx9	3.9239734504	381.6104989807	6.48713768731311E-09	6.48713768731311E-09	9.7449976779
Hrh1	4.1173091757	364.2001301506	7.58994697113066E-09	7.58994697113066E-09	9.7192066848
Adipoq	4.1458869185	362.2333738581	7.72939216064586E-09	7.72939216064586E-09	9.7160779852
Grin2a	5.9268248027	359.5992803695	7.92140528324325E-09	7.92140528324325E-09	9.7118142382
Spo11	4.2345244662	356.9042467404	8.12431529902179E-09	8.12431529902179E-09	9.7073626835
Cpvl	4.2699058221	355.0876483049	8.26490446141395E-09	8.26490446141395E-09	9.7043099961
Cpa1	4.2966201057	353.7971472936	8.36670057886195E-09	8.36670057886195E-09	9.7021154004
Slc35f1	5.7135708437	353.7884720842	8.36739037754786E-09	8.36739037754786E-09	9.7021005737
Slc7a9	4.3969622447	349.7678682818	8.69518931551413E-09	8.69518931551413E-09	9.6951210391
Gpr83	5.5397723097	349.6324604283	8.70651667911162E-09	8.70651667911162E-09	9.6948821749
Kirrel3	5.5360424797	349.6026282438	8.70901482397015E-09	8.70901482397015E-09	9.6948295161
Kcnj11	5.2615582714	344.672340854	9.13498242049743E-09	9.13498242049743E-09	9.6859561601
Kcng1	5.1091462914	342.9449563466	9.29060509374784E-09	9.29060509374784E-09	9.6827652159
RGD1312005	3.5940974004	269.6010354287	2.08639848190471E-08	2.08639848190471E-08	9.4940499524
Insig2	-2.3218868172	-117.2114798497	3.43221580639662E-07	3.43221580639662E-07	8.059049692
Pon3	-0.6377496538	-64.9632037788	2.49458468455912E-06	2.49458468455912E-06	6.2050737624
Hes6	1.3211159283	60.7029230905	3.13309716333654E-06	3.13309716333654E-06	5.9578956439
C2	5.9948506655	57.9939291577	3.65246006568056E-06	3.65246006568056E-06	5.7885636303
Idua	3.3059028591	54.5025190277	4.49959144380968E-06	4.49959144380968E-06	5.554741091
Slc7a11	-3.742253117	-45.8458201281	8.04371052500684E-06	8.04371052500684E-06	4.8847954872
Slc25a25	-2.4604379638	-42.1898345643	1.06324816313479E-05	1.06324816313479E-05	4.5546862551
Lrrtm3	-5.6100104547	-38.4868191535	1.44726510944197E-05	1.44726510944197E-05	4.1847067969
Clk1	0.5955880409	33.5928707539	2.28411570289767E-05	2.28411570289767E-05	3.6288450793
Nipsnap3b	0.2075559465	33.276157885	2.35785131255157E-05	2.35785131255157E-05	3.5898190746
Sbds	0.7487422046	31.4682839992	2.84362438345118E-05	2.84362438345118E-05	3.3589655147
