gene_short_name	logFC	t	P.Value	adj.P.Val	B	FC
Plch1	6.32918423	218.6595625571	3.94041764874051e-08	3.94041764874051e-08	6.6538285638	80.4033791289661
Slc35f1	6.0996838248	208.1773903809	4.65159041811125e-08	4.65159041811125e-08	6.6411979932	68.5784705755517
Grin2a	6.0742763407	207.0290911186	4.73930740053741e-08	4.73930740053741e-08	6.6397014176	67.381299201328
Kirrel3	5.6837752923	188.7936314629	6.47087872716215e-08	6.47087872716215e-08	6.6123351337	51.4028088982586
Kcng1	5.2572946707	168.4097224422	9.51814399163207e-08	9.51814399163207e-08	6.5712656178	38.2475298219367
Dok7	5.068114613	159.2483983706	1.15e-07	1.15e-07	6.5478175311	33.5470642128424
Mpo	4.7341455477	142.9506799155	1.65559694704063e-07	1.65559694704063e-07	6.4953428616	26.6145920517055
Slc7a9	4.5461337315	133.7657318398	2.07185277200003e-07	2.07185277200003e-07	6.4577463824	23.3626776878142
Fam178b	4.5063392396	131.8225573199	2.17681477952849e-07	2.17681477952849e-07	6.4488639744	22.7270612171549
Cpa1	4.4459789457	128.8781297092	2.34938046635903e-07	2.34938046635903e-07	6.4347063024	21.7958104697824
Cdx4	4.4282612524	128.0154511819	2.40327786538784e-07	2.40327786538784e-07	6.4303904297	21.5297737318185
Cpvl	4.4193184051	127.5771853419	2.43127365843014e-07	2.43127365843014e-07	6.4281675584	21.3967296978339
Spo11	4.3840056459	125.8591491116	2.54518449838212e-07	2.54518449838212e-07	6.4192514295	20.8793608729825
Olah	4.3267081718	123.0738943578	2.74499198973487e-07	2.74499198973487e-07	6.4040795349	20.0663758374006
Adipoq	4.2955543818	121.5639273481	2.86184761947975e-07	2.86184761947975e-07	6.3954621113	19.6377043313095
Hrh1	4.2670411085	120.1800156093	2.97467134614051e-07	2.97467134614051e-07	6.3873085135	19.2533970191083
Lhx9	4.0741595033	110.885351323	3.90385369694193e-07	3.90385369694193e-07	6.3254028435	16.8439606282777
Lrrc10b	3.9840440527	106.5840928305	4.46185492149831e-07	4.46185492149831e-07	6.2918638965	15.8240178411787
Il20rb	3.8094768705	98.3520995947	5.85324664300139e-07	5.85324664300139e-07	6.2168669286	14.0206066667825
Plac1	3.740945325	95.1637184029	6.54222491970119e-07	6.54222491970119e-07	6.1833037475	13.3701646330274
Cacng4	3.6090898462	89.1046549306	8.17e-07	8.17e-07	6.1110839262	12.2023731251889
Tssk4	3.1696805034	87.7782362086	8.59394474903983e-07	8.59394474903983e-07	6.0936085079	8.9984748710797
Olr1694	3.5392654866	85.9437466255	9.22919280583445e-07	9.22919280583445e-07	6.0683418372	11.6258596053967
